folder,ticker,date,sentence_idx,text,stock_return,label
20150226_ANSS,ANSS,2015-02-26,0,"Without getting into specific numbers, it was a little bit above 200.",0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,1,"You know, the things we've been talking about.",0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,2,"And we've probably had the equivalent of about, to date, probably about a 15% to 20% increase in headcount.",0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,3,That's something we did very aggressively in Q4 because we wanted to be prepped up for the year.,0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,4,"As it is, we've had a really very good onboarding of some of those people.",0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,5,We've had a really good attraction kind of strategy.,0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,6,"And, of course, then it's going to take some time for them to bring up, to get productive throughout the year.",0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,7,I think we talked about three- to six-month time to ramp up.,0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,8,"And, by the way, we were still hiring into the early part of Q1 because there's a certain amount of bandwidth for bringing these on.",0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,9,"But we've already seen some of the impacts of that early hiring, and certainly from a demand generation effort, the system is still -- the external system is still absorbing that ability.",0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,10,"So, in other words, we are not oversaturated, by any means.",0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,11,There's a whole range of things where if you think about a lot of other applications that you use.,0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,12,"I mean, in terms of being able to -- how to [pod] things, videos that will pop up as you hover over things.",0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,13,"So in other words, in some cases you don't even have to ask for things, it's anticipating what you want, it's anticipating certain guidelines, allows you to set preferences.",0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,14,"And I think the other thing that cannot be overplayed is in some cases these initial steps where we can be operating all of the physics within one window, that may seem like a pretty trivial kind of end-user enhancement or comp-side achievement.",0.004439771001285143,neutral
20150226_ANSS,ANSS,2015-02-26,15,But what you can do in that one window where you are not trying to hop between different things that are connected in talking to one another but they still feel a little bit different.,0.004439771001285143,neutral
